id,similar_projects_ids
97,"75, 16, 97, 17, 28, 45, 36, 87, 22, 131"
98,"75, 72, 122, 37, 104, 95, 96, 16, 136, 85"
99,"106, 38, 117, 91, 127, 132, 78, 44, 3, 77"
100,"75, 90, 102, 134, 104, 122, 135, 124, 97, 128"
101,"62, 115, 87, 80, 55, 60, 88, 74, 61, 24"
102,"119, 46, 91, 60, 87, 53, 62, 24, 129, 50"
103,"75, 99, 46, 94, 54, 104, 124, 134, 81, 5"
104,"53, 89, 71, 108, 7, 87, 92, 115, 109, 16"
105,"84, 97, 130, 75, 72, 100, 10, 122, 62, 6"
106,"58, 70, 124, 101, 84, 46, 91, 63, 34, 135"
107,"127, 98, 117, 86, 136, 132, 91, 10, 137, 38"
108,"123, 17, 132, 106, 49, 121, 136, 91, 39, 20"
109,"7, 89, 74, 71, 103, 53, 85, 63, 75, 36"
110,"51, 59, 53, 71, 103, 50, 64, 94, 108, 89"
111,"70, 36, 38, 45, 76, 67, 96, 50, 22, 28"
112,"100, 87, 50, 24, 62, 129, 60, 115, 119, 88"
113,"73, 118, 41, 132, 130, 52, 27, 68, 48, 104"
114,"46, 63, 82, 137, 124, 48, 3, 133, 5, 4"
115,"71, 45, 53, 96, 28, 103, 56, 16, 49, 7"
116,"87, 100, 55, 62, 85, 61, 88, 50, 60, 129"
117,"120, 41, 52, 7, 30, 108, 125, 79, 66, 85"
118,"127, 106, 38, 132, 91, 137, 98, 136, 104, 75"
119,"73, 48, 69, 6, 27, 15, 112, 130, 18, 104"
120,"62, 57, 60, 88, 50, 23, 58, 74, 87, 64"
121,"116, 63, 7, 41, 104, 52, 79, 133, 30, 33"
122,"131, 23, 132, 49, 136, 86, 123, 106, 67, 107"
123,"97, 75, 37, 72, 104, 95, 4, 84, 63, 128"
124,"132, 91, 49, 76, 107, 121, 136, 17, 53, 127"
125,"75, 5, 10, 88, 63, 128, 104, 113, 4, 84"
126,"116, 66, 36, 7, 90, 96, 94, 108, 104, 30"
127,"94, 102, 90, 100, 51, 81, 104, 73, 59, 75"
128,"117, 106, 132, 38, 136, 91, 98, 49, 53, 75"
129,"75, 90, 122, 124, 134, 37, 104, 99, 92, 64"
130,"87, 24, 111, 115, 62, 119, 60, 88, 50, 100"
131,"104, 15, 27, 73, 134, 97, 18, 118, 6, 95"
132,"23, 121, 96, 119, 86, 75, 122, 39, 45, 38"
133,"127, 41, 91, 49, 117, 136, 123, 106, 11, 42"
134,"104, 74, 108, 55, 88, 63, 135, 113, 62, 100"
135,"75, 65, 130, 99, 90, 97, 128, 104, 122, 92"
136,"61, 64, 75, 62, 88, 60, 85, 58, 55, 74"
137,"132, 106, 97, 75, 127, 49, 117, 121, 4, 122"
138,"117, 106, 67, 113, 127, 86, 28, 53, 33, 49"
